,Area,BHK,Bathroom,Locality,Price,Price_per_sqft
1043,535.0,2,1.0,"Dev Nagar, Karol Bagh",3900000,7289.719626168225
1044,1200.0,3,2.0,Karol Bagh,14500000,12083.333333333334
1045,1501.0,3,2.0,"The Amaryllis, Karol Bagh",20000000,13324.450366422385
1046,1135.0,3,3.0,"The Amaryllis, Karol Bagh",24500000,21585.90308370044
1047,1200.0,3,2.0,"The Amaryllis, Karol Bagh",20900000,17416.666666666668
1048,2200.0,3,3.0,"The Amaryllis, Karol Bagh",43100000,19590.909090909092
1049,1240.0,3,3.0,other,18000000,14516.129032258064
1050,3002.0,4,5.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",50000000,16655.562958027982
1051,1350.0,3,2.0,"New Moti Nagar, Kirti Nagar",18500000,13703.703703703704
1052,2300.0,4,5.0,"New Moti Nagar, Kirti Nagar",46500000,20217.391304347828
1053,1429.0,3,3.0,"New Moti Nagar, Kirti Nagar",17500000,12246.326102169349
1054,2430.0,4,5.0,"New Moti Nagar, Kirti Nagar",42500000,17489.711934156378
1055,1450.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15500000,10689.655172413793
1056,1250.0,2,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15000000,12000.0
1057,2800.0,4,4.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",40000000,14285.714285714286
1058,1646.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",20000000,12150.668286755772
1059,900.0,2,2.0,"New Moti Nagar, Kirti Nagar",6700000,7444.444444444444
1060,1250.0,3,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",16000000,12800.0
1061,900.0,3,2.0,"New Moti Nagar, Kirti Nagar",8000000,8888.888888888889
1062,1590.0,3,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",25000000,15723.270440251572
1063,990.0,3,2.0,"New Moti Nagar, Kirti Nagar",25000000,25252.52525252525
1064,2282.0,4,5.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",37500000,16432.953549517966
1065,1260.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",25000000,19841.26984126984
1066,1457.0,3,3.0,"New Moti Nagar, Kirti Nagar",23000000,15785.861358956761
1067,1400.0,3,2.0,"New Moti Nagar, Kirti Nagar",17500000,12500.0
1068,2175.0,4,4.0,other,44000000,20229.885057471263
1069,1450.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",15000000,10344.827586206897
1070,2800.0,4,5.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",42500000,15178.57142857143
1071,861.112,2,2.0,"New Moti Nagar, Kirti Nagar",5000000,5806.44561915291
1072,2282.0,4,5.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",38000000,16652.059596844872
1073,1753.0,3,3.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",19000000,10838.562464346835
1074,2659.0,4,5.0,"New Moti Nagar, Kirti Nagar",43500000,16359.533659270402
1075,1550.0,3,2.0,"New Moti Nagar, Kirti Nagar",19500000,12580.645161290322
1076,1470.0,3,2.0,"DLF Capital Greens, New Moti Nagar, Kirti Nagar",14200000,9659.86394557823
1077,702.0,3,2.0,"New Moti Nagar, Kirti Nagar",14200000,20227.92022792023
1078,1138.0,2,2.0,"New Moti Nagar, Kirti Nagar",13500000,11862.917398945518
1079,1600.0,3,3.0,Sheikh Sarai Phase 1,21000000,13125.0
1080,1600.0,3,3.0,Sheikh Sarai Phase 1,22500000,14062.5
1081,1250.0,2,4.0,other,19000000,15200.0
1082,810.0,3,2.0,other,7500000,9259.25925925926
1083,585.0,2,2.0,"Savitri Nagar Village, Sheikh Sarai",4000000,6837.606837606838
1084,1700.0,3,3.0,"Savitri Nagar Village, Sheikh Sarai",8000000,4705.882352941177
1085,1800.0,3,4.0,Sheikh Sarai Phase 1,19000000,10555.555555555555
1086,600.0,1,1.0,other,7000000,11666.666666666666
1087,1250.0,3,3.0,"Panchsheel Vihar, Sheikh Sarai",5800000,4640.0
1088,600.0,3,2.0,"Savitri Nagar Village, Sheikh Sarai",8000000,13333.333333333334
1089,1600.0,3,4.0,Sheikh Sarai Phase 1,18800000,11750.0
1090,1100.0,3,2.0,"Panchsheel Vihar, Sheikh Sarai",6000000,5454.545454545455
1091,450.0,1,1.0,"Panchsheel Vihar, Sheikh Sarai",2200000,4888.888888888889
1092,855.0,3,2.0,"Savitri Nagar Village, Sheikh Sarai",6500000,7602.339181286549
1093,1291.668,3,2.0,Sheikh Sarai Phase 1,23500000,18193.529606679116
1094,1300.0,2,2.0,Sheikh Sarai Phase 1,16000000,12307.692307692309
1095,1350.0,3,3.0,Sheikh Sarai Phase 1,20000000,14814.814814814816
1096,900.0,2,2.0,Sheikh Sarai Phase 1,5500000,6111.111111111111
1097,850.0,2,2.0,Sheikh Sarai Phase 1,13500000,15882.35294117647
1098,1650.0,3,3.0,Sheikh Sarai Phase 1,22500000,13636.363636363636
1099,650.0,2,2.0,"Panchsheel Vihar, Sheikh Sarai",3800000,5846.153846153846
1100,630.0,2,2.0,other,4600000,7301.587301587301
1101,1250.0,2,1.0,Sheikh Sarai Phase 1,17500000,14000.0
1102,1800.0,4,3.0,"Panchsheel Vihar, Sheikh Sarai",5500000,3055.5555555555557
1103,1500.0,3,3.0,Sheikh Sarai Phase 1,22500000,15000.0
1104,1100.0,2,2.0,Sheikh Sarai Phase 1,12500000,11363.636363636364
1105,1400.0,3,2.0,Sheikh Sarai Phase 1,19000000,13571.42857142857
1106,1300.0,2,2.0,Sheikh Sarai Phase 1,15500000,11923.076923076924
1107,1100.0,2,2.0,Sheikh Sarai Phase 1,13500000,12272.727272727272
1108,1600.0,3,3.0,Sheikh Sarai Phase 1,21000000,13125.0
1109,2250.0,4,4.0,other,50000000,22222.222222222223
1110,2592.0,4,3.0,Punjabi Bagh,42500000,16396.604938271605
1111,1800.0,4,4.0,Punjabi Bagh West,45500000,25277.777777777777
1112,1700.0,3,3.0,Punjabi Bagh,23000000,13529.411764705883
1113,1640.0,3,3.0,Punjabi Bagh West,12000000,7317.073170731707
1114,2572.0,3,3.0,Punjabi Bagh West,35000000,13608.087091757387
1115,2100.0,3,3.0,other,25000000,11904.761904761905
1116,1620.0,3,3.0,"Punjabi Bagh Extension, Punjabi Bagh",29000000,17901.234567901236
1117,2500.0,4,4.0,Punjabi Bagh West,80000000,32000.0
1118,2250.0,3,3.0,Punjabi Bagh West,20500000,9111.111111111111
1119,2445.0,4,4.0,other,52500000,21472.39263803681
1120,2250.0,4,4.0,Punjabi Bagh,37500000,16666.666666666668
